trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-140.71656457498491,"{0: 13, 1: 6, 2: 10, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-12.36596353524058,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-120.40588724975369,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-173.01321328008467,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-49.2522629998907,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-53.52122018767212,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-65.54904237361957,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-99.69251195012822,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-50.50166761900052,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-4.031902363016305,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,19,9.562499166182956,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-183.79671414668397,"{0: 16, 1: 2, 2: 3, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-22.85753128871031,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,4,-62.94973460387079,"{0: 11, 1: 0, 2: 4, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,13,-36.817728319705836,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-18.579045492163935,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,14.566936428754463,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-5.457206144780489,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-30.2894215112368,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-125.1190789513664,"{0: 13, 1: 0, 2: 4, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,0,-20.67109197253723,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,0,-108.16411087079382,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",30,16,-52.731252528734366,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
4,True,"{'a': 0, 'e': 0}",20,0,-63.77644747282977,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,14,6.724788503871042,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,0,-130.79878167707864,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",35,0,-154.77106054603536,"{0: 29, 1: 0, 2: 1, 3: 1, 4: 4}",0
8,True,"{'a': 0, 'e': 0}",20,0,-72.40242611848235,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,0,-60.96389904815703,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-29.857302796742,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
