trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.999}",20,0,-137.6172258160036,"{0: 9, 1: 2, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.998}",25,0,-154.64892999296603,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.75, 'e': 0.997}",20,0,-66.37904213035617,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.996}",25,0,-136.25374208925302,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.995}",25,0,-151.4640260718596,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.75, 'e': 0.994}",20,6,-21.842989985831274,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 0}",1
7,False,"{'a': 0.75, 'e': 0.993}",20,0,-32.49961766539097,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.992}",20,0,-23.73305652288733,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.991}",35,0,-160.29452508556184,"{0: 20, 1: 2, 2: 11, 3: 1, 4: 1}",0
10,False,"{'a': 0.75, 'e': 0.99}",30,0,-168.35762512034444,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.75, 'e': 0.989}",20,5,-116.14604598534174,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 2}",1
12,False,"{'a': 0.75, 'e': 0.988}",20,0,-140.74854183832474,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
13,False,"{'a': 0.75, 'e': 0.987}",20,0,-99.42571606634623,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.986}",30,0,-224.84334206021484,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
15,False,"{'a': 0.75, 'e': 0.985}",20,0,-186.21521329753182,"{0: 8, 1: 3, 2: 4, 3: 3, 4: 2}",0
16,False,"{'a': 0.75, 'e': 0.984}",25,0,-189.99008451485204,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
17,False,"{'a': 0.75, 'e': 0.983}",30,0,-114.44792225036348,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.75, 'e': 0.982}",20,0,-99.61152357683788,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.75, 'e': 0.981}",20,0,-130.4383518387738,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
20,False,"{'a': 0.75, 'e': 0.98}",20,0,-58.883578280407264,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.75, 'e': 0.979}",25,0,-186.45618889497962,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 3}",0
22,False,"{'a': 0.75, 'e': 0.978}",25,0,-213.42105719980916,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
23,False,"{'a': 0.75, 'e': 0.977}",25,0,-107.17778281874331,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
24,False,"{'a': 0.75, 'e': 0.976}",20,0,-129.80880728969217,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
25,False,"{'a': 0.75, 'e': 0.975}",20,0,-108.48242448080771,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
26,False,"{'a': 0.75, 'e': 0.974}",20,0,-103.73788777618905,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.75, 'e': 0.973}",30,0,-114.8893425533568,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
